Beta_p,Independent_Baseline_Type,Server_J,Server_K,Distance_km,Rho_phy,Empirical_Latent_Correlation,Theoretical_Latent_Correlation,Empirical_Hazard_Correlation,Theoretical_Hazard_Correlation,Mean_Marginal_Failure_J_Spatial,Mean_Marginal_Failure_K_Spatial,Mean_Joint_Failure_Spatial,Mean_Joint_Failure_Independent,Mean_Joint_Failure_Amplification,Mean_Excess_Joint_Failure,Mean_Relative_Joint_Underestimation,Mean_Binary_Failure_Correlation,Max_Binary_Failure_Correlation,Max_Joint_Failure_Amplification,Max_Absolute_Marginal_Difference
0.0,matched_marginal_product,6,7,0.5249976332981291,0.3499394055117266,0.3509559022274131,0.3499394055117266,,,0.016458485232001874,0.0002842851860467365,5.204297544374461e-06,5.204297544374461e-06,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,6,8,0.5192140601550097,0.3540107070824934,0.35662247013872816,0.3540107070824934,,,0.016458485232001874,0.0003754582200864641,6.873336151995975e-06,6.873336151995975e-06,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,7,8,1.0329145370926014,0.12671319237019502,0.13078637806084992,0.12671319237019502,,,0.0002842851860467365,0.0003754582200864641,1.1881683588514326e-07,1.1881683588514326e-07,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.2,matched_marginal_product,1,2,1.9313933954397549,0.021009369147363816,0.019303665551603847,0.021009369147363816,0.019124201741451838,0.020600637854647653,0.0052318937690087955,0.014108955457833855,8.215539007367139e-05,8.209203350717151e-05,1.0007734607925216,6.335656649986744e-08,0.0007734607925216507,6.7097727171493825e-06,1.282014619253511e-05,1.000780180534705,0.0
0.2,matched_marginal_product,1,3,0.848949142165538,0.18306787663613355,0.18265252158023934,0.18306787663613355,0.1800992679924017,0.180089494799566,0.0052318937690087955,0.009219663156462445,5.404768616392452e-05,5.365744964511871e-05,1.007284448914914,3.9023651880580854e-07,0.007284448914913835,5.0958277472536615e-05,9.748590461551041e-05,1.0073310186590974,0.0
0.2,matched_marginal_product,1,4,1.4397725609322833,0.05616030311880285,0.05245971184276063,0.05616030311880285,0.05096136419915248,0.055106457630505,0.0052318937690087955,0.009079327851290082,5.294988950688502e-05,5.284109199175076e-05,1.0020621591152057,1.0879751513427111e-07,0.002062159115205692,1.4314895002720433e-05,2.7390171386451333e-05,1.0020748907078276,0.0
0.2,matched_marginal_product,1,5,0.5222126575031668,0.35189398947555517,0.351762826067618,0.35189398947555517,0.3463392853841548,0.3473418429724872,0.0052318937690087955,0.008257034607218171,4.8730017235397506e-05,4.8057419255834454e-05,1.0140167602028873,6.725979795630449e-07,0.01401676020288742,9.274925282181396e-05,0.00017747363354444863,1.0141004025104097,0.0
0.2,matched_marginal_product,1,6,1.3441620986649503,0.06799478979999132,0.06394009410891056,0.06799478979999132,0.06247805730572644,0.06673467079463662,0.0052318937690087955,0.016456920003029726,9.598282302346946e-05,9.574197240831201e-05,1.002521628180001,2.4085061515744955e-07,0.0025216281800008746,2.3654096732600307e-05,4.5180656569816464e-05,1.0025455881897705,0.0
0.2,matched_marginal_product,1,7,0.989629775327275,0.13817150844591128,0.13879438394690585,0.13817150844591128,0.13606158013341535,0.13580143274529188,0.0052318937690087955,0.00028447158136366327,1.6655190637151692e-06,1.6563482777166371e-06,1.0055401317989516,9.17078599853226e-09,0.0055401317989517114,6.7774065863468715e-06,1.2992721055056594e-05,1.0055535203435366,0.0
0.2,matched_marginal_product,1,8,1.836574891644758,0.025396350832529932,0.024924455797724225,0.025396350832529932,0.02414524145926251,0.024904457410750515,0.0052318937690087955,0.00037555902861386375,2.1888523659957307e-06,2.1866988097301547e-06,1.000985416382449,2.1535562655761507e-09,0.0009854163824489293,1.3851975639902813e-06,2.6558548555515774e-06,1.0009876837278164,0.0
