state_id,trial_id,requirement,load_tertile,safe_set_size,effective_set_size,coupling_group,q_spread,q_std_safe,q_predicted_action,actor_predicted_action,horizon,q_spearman,q_kendall,q_top1_hit,q_top3_hit,q_top5_hit,q_regret,q_optimal_set_size,actor_spearman,actor_kendall,actor_top1_hit,actor_top3_hit,actor_top5_hit,actor_regret,random_top1_hit,random_top3_hit,random_top5_hit,actor_probability_spearman
trial_000_ep1_task149,0,0.999,medium,5,5,easy,0.000598907470703125,0.00019802652241196483,16,27,10,-0.5773502691896257,-0.5163977794943223,False,True,True,6.119245516774868,2,0.5773502691896257,0.5163977794943223,True,True,True,0.0,0.4,0.9,1.0,0.9999999999999999
trial_000_ep1_task149,0,0.999,medium,5,5,easy,0.000598907470703125,0.00019802652241196483,16,27,20,-0.5773502691896257,-0.5163977794943223,False,True,True,6.119245516774868,2,0.5773502691896257,0.5163977794943223,True,True,True,0.0,0.4,0.9,1.0,0.9999999999999999
trial_000_ep1_task149,0,0.999,medium,5,5,easy,0.000598907470703125,0.00019802652241196483,16,27,50,-0.5773502691896257,-0.5163977794943223,False,True,True,6.119245516774868,2,0.5773502691896257,0.5163977794943223,True,True,True,0.0,0.4,0.9,1.0,0.9999999999999999
trial_000_ep1_task151,0,0.99,medium,28,28,easy,0.00493621826171875,0.0012449496425688267,5,27,5,0.445905441490515,0.35542489958655665,True,True,True,0.0,7,0.6428168388258018,0.48154341234307674,True,True,True,0.0,0.25,0.594017094017094,0.7929487179487179,0.9999999999999998
trial_000_ep1_task151,0,0.99,medium,28,28,easy,0.00493621826171875,0.0012449496425688267,5,27,10,0.445905441490515,0.35542489958655665,True,True,True,0.0,7,0.6428168388258018,0.48154341234307674,True,True,True,0.0,0.25,0.594017094017094,0.7929487179487179,0.9999999999999998
trial_000_ep1_task151,0,0.99,medium,28,28,easy,0.00493621826171875,0.0012449496425688267,5,27,20,0.445905441490515,0.35542489958655665,True,True,True,0.0,7,0.6428168388258018,0.48154341234307674,True,True,True,0.0,0.25,0.594017094017094,0.7929487179487179,0.9999999999999998
trial_000_ep1_task151,0,0.99,medium,28,28,easy,0.00493621826171875,0.0012449496425688267,5,27,50,0.445905441490515,0.35542489958655665,True,True,True,0.0,7,0.6428168388258018,0.48154341234307674,True,True,True,0.0,0.25,0.594017094017094,0.7929487179487179,0.9999999999999998
trial_000_ep1_task154,0,0.9999,low,0,1,easy,0.0,0.0,25,25,5,,,True,True,True,0.0,1,,,True,True,True,0.0,1.0,1.0,1.0,
trial_000_ep1_task154,0,0.9999,low,0,1,easy,0.0,0.0,25,25,10,,,True,True,True,0.0,1,,,True,True,True,0.0,1.0,1.0,1.0,
trial_000_ep1_task154,0,0.9999,low,0,1,easy,0.0,0.0,25,25,20,,,True,True,True,0.0,1,,,True,True,True,0.0,1.0,1.0,1.0,
trial_000_ep1_task154,0,0.9999,low,0,1,easy,0.0,0.0,25,25,50,,,True,True,True,0.0,1,,,True,True,True,0.0,1.0,1.0,1.0,
trial_000_ep1_task155,0,0.999,high,7,7,coupled,0.002941131591796875,0.0008477705996483564,16,27,5,0.7857142857142859,0.6190476190476191,False,True,True,8.012448485674156,1,0.42857142857142866,0.33333333333333337,False,False,True,3.228882783268034,0.1428571428571429,0.4285714285714285,0.7142857142857143,1.0
