arm,unit,gradient_updates,split,mae,rmse,pearson,spearman,r2,explained_variance,calibration_slope,calibration_intercept,prediction_mean,prediction_std,target_mean,target_std
V1,180,1440,test,314.4974726206331,332.8386685245535,-0.22055012432987642,-0.20819590411148375,-8.311233242468543,-2.652944111503075e-06,-36670.97271938826,1011133.9137051466,27.563814559459686,0.0006560169339274959,342.0219529236573,109.07624360043513
V1,190,1520,train,308.7489277342325,327.33394700294025,-0.24714581403832772,-0.2329522898409558,-8.005591802555873,-2.6976604030615192e-06,-45284.96451041587,1308622.2343010257,28.890046245363024,0.0005952976193585682,337.5153754878892,109.07743540259646
V1,190,1520,validation,321.41708997713914,339.4251706381262,-0.23740536373544227,-0.22854054270091786,-8.65031766160373,-2.599639030265166e-06,-43361.371308919646,1253062.544581706,28.890052566369373,0.0005982197662217927,350.2481171564442,109.26303011580089
V1,190,1520,test,313.17410909810354,331.5859516372658,-0.2203047349212599,-0.2079316417040233,-8.241275094701406,-2.4091660280056715e-06,-40291.76731784309,1164373.251403706,28.890051415920258,0.0005964000720802108,342.0219529236573,109.07624360043513
V1,200,1600,train,307.43069656015746,326.08439788006405,-0.24690367410402778,-0.23277612200974854,-7.93696799350298,-2.4582414606122427e-06,-49598.08856868691,1498976.2347509053,30.215654728306664,0.0005429971262995153,337.5153754878892,109.07743540259646
V1,200,1600,validation,320.09501680568246,338.17038804065805,-0.23719480747168628,-0.22839130744292455,-8.579099205130023,-2.3690964037204054e-06,-47496.563554024186,1435490.2873317346,30.21566049893697,0.0005456525999530895,350.2481171564442,109.26303011580089
V1,200,1600,test,311.851442897959,330.33440283000834,-0.22009768388689455,-0.20780618654245883,-8.171645610112263,-2.1954855380368343e-06,-44130.13748749536,1333763.2274575378,30.215659443219504,0.0005440143618483199,342.0219529236573,109.07624360043513
V1,210,1680,train,306.1134555472161,324.8359711938037,-0.24663378293811075,-0.2326060375798286,-7.868667936084757,-2.248240069446794e-06,-54112.35728425763,1707079.8078962823,31.540712291558584,0.0004971541044721057,337.5153754878892,109.07743540259646
V1,210,1680,validation,318.77415512499806,336.9166694597357,-0.23693615025716913,-0.22826507544361957,-8.508204571301398,-2.1667211071996206e-06,-51819.57270219845,1634776.7560147073,31.540717583497365,0.000499586553325103,350.2481171564442,109.26303011580089
V1,210,1680,test,310.5298361308576,329.08395420397875,-0.21988516162545133,-0.20769186162998582,-8.102340295345195,-2.008113436202663e-06,-48154.63654856639,1519173.7666412042,31.540716606934865,0.0004980672511023819,342.0219529236573,109.07624360043513
V1,220,1760,train,304.79697630917644,323.58861789120465,-0.24640534116695997,-0.23245191342339352,-7.80068825544673,-2.063998126633493e-06,-58833.49154115244,1933916.5456607477,32.86527757634057,0.00045683609760257003,337.5153754878892,109.07743540259646
V1,220,1760,validation,317.4542260597706,335.6639648192673,-0.23672208575969544,-0.22807951778520044,-8.437630273778698,-1.989303371585649e-06,-56339.16274682334,1851952.7436619736,32.86528243001302,0.00045909401425911695,350.2481171564442,109.26303011580089
V1,220,1760,test,309.20880441215155,327.83455633336723,-0.21967411604537004,-0.20754164502461545,-8.033355732802711,-1.8435338433597792e-06,-52352.90723785434,1720935.0566098292,32.86528151798248,0.00045768666266444915,342.0219529236573,109.07624360043513
V1,230,1840,train,303.4813094684151,322.3422759782769,-0.2462450208804346,-0.23230000021968386,-7.733024917267189,-1.8977301117217849e-06,-63904.855982062814,2185207.674917307,34.18942310354445,0.0004203088317081237,337.5153754878892,109.07743540259646
V1,230,1840,validation,316.13473164964586,334.412210955176,-0.23656086007929356,-0.2279675096696711,-8.36737213556602,-1.8289382366365459e-06,-61195.61243666076,2092593.2082714587,34.189427588780724,0.00042237270532779304,350.2481171564442,109.26303011580089
V1,230,1840,test,307.88841079992574,326.58614676228433,-0.219444085010992,-0.20728006581374883,-7.964687831641289,-1.6943982186212736e-06,-56841.573033155524,1943722.8186678442,34.18942673492432,0.0004211026401287595,342.0219529236573,109.07624360043513
V1,240,1920,train,302.1664862355838,321.096923445665,-0.24601654748121726,-0.23218115593945235,-7.665676097903225,-1.7508666636523174e-06,-69136.70881479702,2455601.8519170727,35.51317930274539,0.000388141907907957,337.5153754878892,109.07743540259646
V1,240,1920,validation,314.8160480102742,333.1613849520944,-0.236398183934213,-0.2278507912764351,-8.297428279540682,-1.6876900899021052e-06,-66226.04898464476,2352248.07176591,35.513183403015134,0.0003900214837897604,350.2481171564442,109.26303011580089
V1,240,1920,test,306.56844316719656,325.33870319031223,-0.21935985646810602,-0.20732896015682695,-7.89633475004876,-1.5641239101693571e-06,-61528.549432349595,2185416.634975217,35.51318263117472,0.0003888755603864715,342.0219529236573,109.07624360043513
V1,250,2000,train,300.85280671072377,319.8525321223971,-0.245952327748643,-0.2321635983984607,-7.598639661355559,-1.6196255590017472e-06,-74699.9231904934,2752027.4523478146,36.836583217832775,0.00035914158939235875,337.5153754878892,109.07743540259646
V1,250,2000,validation,313.4983789425735,331.9114574637081,-0.23636103830501293,-0.22788170131984165,-8.2277964906411,-1.5614651989181993e-06,-71557.06169102318,2636268.1800810993,36.83658704916636,0.00036090810097869536,350.2481171564442,109.26303011580089
