lens,horizon,safe_set_bin,value_source,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement,normalized_mae,quartile_agreement,sign_agreement_including_zeros
legacy_interval_step,50,16-28,V2,raw,840,840,0.15711329354630238,0.14297275391831643,0.5892857142857143,1.0225094373346966,0.29285714285714287,0.5892857142857143
legacy_interval_step,50,16-28,V2,normalized,840,840,0.15615414833591124,0.1408055261044803,0.5392857142857143,1.0269733770525407,0.29285714285714287,0.5392857142857143
legacy_interval_step,50,16-28,V3,raw,840,840,0.15750613209611897,0.13357903758726508,0.525,1.019857381329294,0.29285714285714287,0.525
legacy_interval_step,50,16-28,V3,normalized,840,840,0.15738407288273487,0.13398968184062124,0.525,1.0225045477927088,0.28809523809523807,0.525
legacy_interval_step,50,6-15,V0,raw,98,98,0.007357623260873678,0.020178900458773883,0.5918367346938775,1.1732349425623843,0.15306122448979592,0.5918367346938775
legacy_interval_step,50,6-15,V0,normalized,98,98,0.030491526902040128,0.04860088365243004,0.46938775510204084,1.1319753600390292,0.1836734693877551,0.46938775510204084
legacy_interval_step,50,6-15,V1,raw,98,98,0.0073339936195769865,0.020178900458773883,0.5918367346938775,1.1732359727135973,0.15306122448979592,0.5918367346938775
legacy_interval_step,50,6-15,V1,normalized,98,98,0.030468670380774967,0.04860088365243004,0.46938775510204084,1.1319847878151332,0.1836734693877551,0.46938775510204084
legacy_interval_step,50,6-15,V2,raw,98,98,0.00733400975611203,0.020178900458773883,0.5918367346938775,1.1732359727821093,0.15306122448979592,0.5918367346938775
legacy_interval_step,50,6-15,V2,normalized,98,98,0.030468678061697015,0.04860088365243004,0.46938775510204084,1.1319848017872711,0.1836734693877551,0.46938775510204084
legacy_interval_step,50,6-15,V3,raw,98,98,0.029073464228430074,0.034893877475788135,0.46938775510204084,1.1525530829541042,0.23469387755102042,0.46938775510204084
legacy_interval_step,50,6-15,V3,normalized,98,98,0.05753777666260096,0.06970398281149386,0.46938775510204084,1.1200417930699054,0.21428571428571427,0.46938775510204084
legacy_interval_step,50,empty,V0,raw,7,0,,,,0.8954557937935915,0.2857142857142857,0.0
legacy_interval_step,50,empty,V0,normalized,7,0,,,,0.8765894378013671,0.2857142857142857,0.0
legacy_interval_step,50,empty,V1,raw,7,0,,,,0.8954465799624343,0.2857142857142857,0.0
legacy_interval_step,50,empty,V1,normalized,7,0,,,,0.8765998740099763,0.2857142857142857,0.0
legacy_interval_step,50,empty,V2,raw,7,0,,,,0.895446583276606,0.2857142857142857,0.0
legacy_interval_step,50,empty,V2,normalized,7,0,,,,0.8765998934670481,0.2857142857142857,0.0
legacy_interval_step,50,empty,V3,raw,7,0,,,,0.8803900033121107,0.2857142857142857,0.0
legacy_interval_step,50,empty,V3,normalized,7,0,,,,0.8678759453982253,0.2857142857142857,0.0
production_smdp,5,1-5,V0,raw,55,37,0.1448756051622415,0.19404876315467703,0.7567567567567568,0.9458644675366256,0.4727272727272727,0.509090909090909
production_smdp,5,1-5,V0,normalized,55,37,0.09283968845235198,0.1579894676830096,0.2972972972972973,0.9547775949165561,0.2909090909090909,0.2
production_smdp,5,1-5,V1,raw,55,37,0.1448454415985917,0.19386927066932166,0.7567567567567568,0.9458741332526832,0.4909090909090909,0.509090909090909
