lens,horizon,coupling,value_source,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement,normalized_mae,quartile_agreement,sign_agreement_including_zeros
production_smdp,20,coupled,V3,raw,174,174,0.1562404820682892,0.0902633901876477,0.5344827586206896,1.0197084289910958,0.3103448275862069,0.5344827586206896
production_smdp,20,coupled,V3,normalized,174,174,0.17422886041404145,0.1056966314530596,0.5402298850574713,1.00763545341125,0.27011494252873564,0.5402298850574713
production_smdp,20,easy,V0,raw,826,801,0.12456207333336305,0.15284662603095112,0.602996254681648,1.0255066657411334,0.2772397094430993,0.5847457627118644
production_smdp,20,easy,V0,normalized,826,801,0.12179196915469427,0.15221533667125095,0.5205992509363296,1.0284966931993922,0.26150121065375304,0.5048426150121066
production_smdp,20,easy,V1,raw,826,801,0.12453439815563218,0.15280629616057514,0.602996254681648,1.0255108022182993,0.2772397094430993,0.5847457627118644
production_smdp,20,easy,V1,normalized,826,801,0.12176502041007517,0.15224313541283668,0.5205992509363296,1.0284982980751722,0.26150121065375304,0.5048426150121066
production_smdp,20,easy,V2,raw,826,801,0.12453439257795289,0.15280583834768188,0.602996254681648,1.0255108005333657,0.2772397094430993,0.5847457627118644
production_smdp,20,easy,V2,normalized,826,801,0.1217650068516596,0.15224313541283668,0.5205992509363296,1.0284983040269071,0.26150121065375304,0.5048426150121066
production_smdp,20,easy,V3,raw,826,801,0.13417751816314516,0.15444781008423206,0.5205992509363296,1.016452814403967,0.28329297820823246,0.5048426150121066
production_smdp,20,easy,V3,normalized,826,801,0.13215624821342212,0.15558564928716487,0.5143570536828964,1.019424440659444,0.2796610169491525,0.49878934624697335
production_smdp,50,coupled,V0,raw,174,174,0.1461754190804839,0.1214487884051368,0.5862068965517241,1.019337104313695,0.3103448275862069,0.5862068965517241
production_smdp,50,coupled,V0,normalized,174,174,0.16357682995118147,0.12765625444915857,0.5804597701149425,1.0149576586117166,0.3218390804597701,0.5804597701149425
production_smdp,50,coupled,V1,raw,174,174,0.14613646768103472,0.1214487884051368,0.5862068965517241,1.019363866005423,0.3103448275862069,0.5862068965517241
production_smdp,50,coupled,V1,normalized,174,174,0.16353751619840495,0.12773370540163445,0.5804597701149425,1.0149791559978525,0.3218390804597701,0.5804597701149425
production_smdp,50,coupled,V2,raw,174,174,0.14613645853041607,0.1214487884051368,0.5862068965517241,1.0193638741314506,0.3103448275862069,0.5862068965517241
production_smdp,50,coupled,V2,normalized,174,174,0.16353750671314263,0.12773370540163445,0.5804597701149425,1.0149791588199297,0.3218390804597701,0.5804597701149425
production_smdp,50,coupled,V3,raw,174,174,0.15624048206828928,0.0902633901876477,0.5344827586206896,1.0197084289910958,0.3103448275862069,0.5344827586206896
production_smdp,50,coupled,V3,normalized,174,174,0.1742288604140413,0.1056966314530596,0.5402298850574713,1.0076354534112502,0.27011494252873564,0.5402298850574713
production_smdp,50,easy,V0,raw,826,801,0.1245620733333631,0.15278635934477072,0.602996254681648,1.025506665741133,0.2772397094430993,0.5847457627118644
production_smdp,50,easy,V0,normalized,826,801,0.12179196915469433,0.15216420516522888,0.5205992509363296,1.028496693199392,0.26150121065375304,0.5048426150121066
production_smdp,50,easy,V1,raw,826,801,0.12453439815563218,0.1527460188688645,0.602996254681648,1.0255108022182988,0.2772397094430993,0.5847457627118644
production_smdp,50,easy,V1,normalized,826,801,0.12176502041007521,0.15219227007525923,0.5205992509363296,1.028498298075172,0.26150121065375304,0.5048426150121066
production_smdp,50,easy,V2,raw,826,801,0.124534392577953,0.1527455610559883,0.602996254681648,1.0255108005333655,0.2772397094430993,0.5847457627118644
production_smdp,50,easy,V2,normalized,826,801,0.12176500685165963,0.15219227007525923,0.5205992509363296,1.028498304026907,0.26150121065375304,0.5048426150121066
production_smdp,50,easy,V3,raw,826,801,0.13417751816314527,0.1543892468682463,0.5205992509363296,1.016452814403967,0.28329297820823246,0.5048426150121066
production_smdp,50,easy,V3,normalized,826,801,0.13215624821342226,0.155544781150721,0.5143570536828964,1.0194244406594437,0.2796610169491525,0.49878934624697335
