trial_id,policy,R_req,tasks,mean_reward,mean_latency,p50_latency,p90_latency,p95_latency,overall_rsr,feasibility_rate,conditional_rsr,avoidable_violation_rate,unavoidable_violation_rate,empty_safe_set_rate,mean_empty_deficit,p95_empty_deficit,avoidable_violation_count,unavoidable_violation_count,mean_safe_set_size,pair_selection_hhi,pair_selection_entropy,top1_pair_frequency,unique_selected_pairs,pair_78_frequency,mean_masked_entropy
5,flat,0.99,1000,53.73006576940203,2.870200464324102,2.4555854079828183,5.478077065588945,6.8295626645427,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.287,1.0,-0.0,1.0,1,1.0,2.50330251455307
5,flat,0.999,1000,49.18968215708814,3.0866364672636766,2.557319383274546,5.6834005166876045,7.178023891537895,0.997,1.0,0.997,0.003,0.0,0.0,0.0,0.0,3,0,21.807,1.0,-0.0,1.0,1,1.0,2.480439847946167
5,flat,0.9999,1000,35.43132193510653,3.30253727811669,2.6886518559201136,6.286181807470972,7.69152359682045,0.788,0.886,0.8893905191873589,0.098,0.114,0.114,9.430848271695178e-05,0.0002731586389505198,98,114,8.991,1.0,-0.0,1.0,1,1.0,2.4601692159175874
5,masked_greedy,0.9,1000,48.73622994270975,3.029471842101516,2.6405909250798056,5.548055274349131,6.92117900850723,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,28.0,0.9980020000000001,0.007907255112232087,0.999,2,0.999,3.25060036945343
5,masked_greedy,0.99,1000,54.88717253448155,2.7565196071652514,2.45385389637255,5.009914385514802,6.423846773698249,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.287,1.0,-0.0,1.0,1,1.0,3.2266343519687655
5,masked_greedy,0.999,1000,51.32396233704484,2.914551551969469,2.4951904784243766,5.359759728998803,6.447553175952708,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,21.807,0.9900500000000001,0.03147906594716675,0.995,2,0.995,2.9664932636022567
5,masked_greedy,0.9999,1000,42.59512778175155,3.040476286603888,2.5488698053232355,5.834438487352492,7.132672139528507,0.886,0.886,1.0,0.0,0.114,0.114,9.430848271695178e-05,0.0002731586389505198,0,114,8.991,0.6870299999999999,0.7079373857947356,0.823,7,0.823,1.6719739418625832
5,masked_stochastic,0.9,1000,59.653104266062236,2.1418689934255535,2.1601586235183845,3.29893560243415,3.6208764509705134,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,28.0,0.042008,3.237007588762624,0.062,28,0.056,3.245821181535721
5,masked_stochastic,0.99,1000,65.62315111054963,1.9320677057879376,1.794332703237501,3.1350826040163327,3.5933284657193307,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.287,0.04362,3.2133640422546845,0.066,28,0.062,3.2221180753707888
5,masked_stochastic,0.999,1000,65.88220229305857,1.9021538779807257,1.8166711676309435,3.0312730990052565,3.502045267854137,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,21.807,0.053349999999999995,3.0715432847167636,0.091,28,0.091,2.962306086063385
5,masked_stochastic,0.9999,1000,54.4900347250991,2.0258821571536907,1.991563879866049,2.8826260730900177,3.5629680993541895,0.886,0.886,1.0,0.0,0.114,0.114,9.430848271695178e-05,0.0002731586389505198,0,114,8.991,0.105026,2.6138846175181842,0.194,27,0.194,1.670151230931282
5,pair,0.9,1000,48.200298402537065,3.0187543933073218,2.6464440322397245,5.406404394266552,6.623917151454864,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,28.0,0.964648,0.0901499225359206,0.982,2,0.982,2.4735460543632506
5,pair,0.99,1000,54.985265448433985,2.70244830737312,2.4506911409353336,4.933511668653189,6.205820645787356,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.287,0.964648,0.0901499225359206,0.982,2,0.982,2.4538603179454803
