group_type,group_value,metric,count,mean,std,p50,p90
requirement,0.999,current_task_attribution_ratio,15000,0.9999999999999821,6.860014315635162e-15,0.9999999999999831,0.9999999999999902
requirement,0.999,signed_current_task_share,15000,0.9999999978936323,2.5616539954388397e-08,0.9999999964388713,1.0000000320597018
requirement,0.999,current_task_absolute_share,15000,0.9999999999999821,6.860014315635162e-15,0.9999999999999831,0.9999999999999902
requirement,0.999,previous_tasks_absolute_share,15000,0.0,0.0,0.0,0.0
requirement,0.999,other_absolute_share,15000,0.0,0.0,0.0,0.0
requirement,0.9999,current_task_attribution_ratio,15000,0.9999999999999746,2.671714266632173e-14,0.999999999999982,0.9999999999999891
requirement,0.9999,signed_current_task_share,15000,0.9999999978750896,2.6498814433987804e-08,0.9999999952951267,1.0000000352694705
requirement,0.9999,current_task_absolute_share,15000,0.9999999999999746,2.671714266632173e-14,0.999999999999982,0.9999999999999891
requirement,0.9999,previous_tasks_absolute_share,15000,0.0,0.0,0.0,0.0
requirement,0.9999,other_absolute_share,15000,0.0,0.0,0.0,0.0
safe_set_size,0,current_task_attribution_ratio,1348,0.9999999999998974,3.1862033502722964e-14,0.9999999999999006,0.9999999999999332
safe_set_size,0,signed_current_task_share,1348,0.9999999989971893,2.601613325190403e-08,0.9999999987829665,1.0000000343161515
safe_set_size,0,current_task_absolute_share,1348,0.9999999999998974,3.1862033502722964e-14,0.9999999999999006,0.9999999999999332
safe_set_size,0,previous_tasks_absolute_share,1348,0.0,0.0,0.0,0.0
safe_set_size,0,other_absolute_share,1348,0.0,0.0,0.0,0.0
safe_set_size,1,current_task_attribution_ratio,907,0.9999999999999775,6.866347228999525e-15,0.9999999999999786,0.9999999999999845
safe_set_size,1,signed_current_task_share,907,0.9999999959354552,2.561457772497572e-08,0.9999999899266001,1.0000000338118409
safe_set_size,1,current_task_absolute_share,907,0.9999999999999775,6.866347228999525e-15,0.9999999999999786,0.9999999999999845
safe_set_size,1,previous_tasks_absolute_share,907,0.0,0.0,0.0,0.0
safe_set_size,1,other_absolute_share,907,0.0,0.0,0.0,0.0
safe_set_size,2,current_task_attribution_ratio,654,0.9999999999999781,6.735980255213459e-15,0.9999999999999786,0.9999999999999852
safe_set_size,2,signed_current_task_share,654,0.9999999966158953,2.5823938975373302e-08,0.9999999931349282,1.0000000344037892
safe_set_size,2,current_task_absolute_share,654,0.9999999999999781,6.735980255213459e-15,0.9999999999999786,0.9999999999999852
safe_set_size,2,previous_tasks_absolute_share,654,0.0,0.0,0.0,0.0
safe_set_size,2,other_absolute_share,654,0.0,0.0,0.0,0.0
safe_set_size,3,current_task_attribution_ratio,1172,0.9999999999999782,5.797071162929599e-15,0.9999999999999786,0.999999999999985
safe_set_size,3,signed_current_task_share,1172,0.9999999969440796,2.5340956961711776e-08,0.9999999915000689,1.0000000345342157
safe_set_size,3,current_task_absolute_share,1172,0.9999999999999782,5.797071162929599e-15,0.9999999999999786,0.999999999999985
safe_set_size,3,previous_tasks_absolute_share,1172,0.0,0.0,0.0,0.0
safe_set_size,3,other_absolute_share,1172,0.0,0.0,0.0,0.0
safe_set_size,4,current_task_attribution_ratio,895,0.9999999999999789,5.0727249147781045e-15,0.9999999999999793,0.999999999999985
safe_set_size,4,signed_current_task_share,895,0.9999999976598216,2.587512953396247e-08,0.9999999929015809,1.0000000319928657
safe_set_size,4,current_task_absolute_share,895,0.9999999999999789,5.0727249147781045e-15,0.9999999999999793,0.999999999999985
safe_set_size,4,previous_tasks_absolute_share,895,0.0,0.0,0.0,0.0
safe_set_size,4,other_absolute_share,895,0.0,0.0,0.0,0.0
safe_set_size,5,current_task_attribution_ratio,980,0.9999999999999791,5.89668067478272e-15,0.9999999999999796,0.9999999999999853
safe_set_size,5,signed_current_task_share,980,0.9999999960400041,2.5735510973426964e-08,0.9999999904128939,1.0000000345342157
safe_set_size,5,current_task_absolute_share,980,0.9999999999999791,5.89668067478272e-15,0.9999999999999796,0.9999999999999853
safe_set_size,5,previous_tasks_absolute_share,980,0.0,0.0,0.0,0.0
safe_set_size,5,other_absolute_share,980,0.0,0.0,0.0,0.0
