state_id,trial_id,task_id,requirement,load_tertile,safe_set_size,reference_action,alternative_action,initial_peak_queue_difference_seconds,peak_step,half_life_50_steps,half_life_25_steps,half_life_10_steps,right_censored
trial_000_ep1_task022,0,22,0.9,medium,28,4,11,0.3722803371016372,1,2.0,2.0,2.0,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,12,0.3722803371016372,1,2.0,2.0,2.0,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,13,0.3722803371016372,1,2.0,2.0,2.0,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,14,0.3722803371016372,1,2.0,2.0,2.0,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,15,0.3722803371016372,1,2.0,2.0,2.0,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,16,0.3722803371016372,1,2.0,2.0,2.0,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,17,0.3722803371016372,1,2.0,2.0,2.0,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,18,0.3722803371016372,1,2.0,2.0,2.0,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,19,0.3722803371016372,1,2.0,2.0,2.0,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,20,0.3722803371016372,1,2.0,2.0,2.0,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,21,0.3722803371016372,1,2.0,2.0,2.0,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,22,0.3722803371016372,1,2.0,2.0,2.0,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,23,0.3722803371016372,1,2.0,2.0,2.0,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,24,0.3722803371016372,1,2.0,2.0,2.0,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,25,0.3722803371016372,1,2.0,2.0,2.0,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,26,0.3722803371016372,1,2.0,2.0,2.0,False
trial_000_ep1_task022,0,22,0.9,medium,28,4,27,0.3722803371016372,1,2.0,2.0,2.0,False
trial_000_ep1_task024,0,24,0.9,low,28,6,0,1.56073830890376,2,5.0,5.0,5.0,False
trial_000_ep1_task024,0,24,0.9,low,28,6,1,1.9419713130415743,1,5.0,5.0,5.0,False
trial_000_ep1_task024,0,24,0.9,low,28,6,2,0.9648634754431509,4,5.0,5.0,5.0,False
trial_000_ep1_task024,0,24,0.9,low,28,6,3,1.9419713130415743,1,2.0,5.0,5.0,False
trial_000_ep1_task024,0,24,0.9,low,28,6,4,1.0868823502809253,4,5.0,5.0,5.0,False
trial_000_ep1_task024,0,24,0.9,low,28,6,5,1.06640885523238,4,5.0,5.0,5.0,False
trial_000_ep1_task024,0,24,0.9,low,28,6,7,1.5607383089037599,1,5.0,5.0,5.0,False
trial_000_ep1_task024,0,24,0.9,low,28,6,8,4.280563513408313,1,2.0,2.0,5.0,False
trial_000_ep1_task024,0,24,0.9,low,28,6,9,1.5607383089037599,1,2.0,2.0,5.0,False
trial_000_ep1_task024,0,24,0.9,low,28,6,10,3.822029957182166,1,2.0,2.0,5.0,False
trial_000_ep1_task024,0,24,0.9,low,28,6,11,3.6499438155104293,1,2.0,2.0,5.0,False
trial_000_ep1_task024,0,24,0.9,low,28,6,12,3.5027096219453338,1,2.0,2.0,5.0,False
trial_000_ep1_task024,0,24,0.9,low,28,6,13,0.7778538914629787,1,2.0,5.0,5.0,False
trial_000_ep1_task024,0,24,0.9,low,28,6,14,1.9419713130415743,1,2.0,2.0,2.0,False
trial_000_ep1_task024,0,24,0.9,low,28,6,15,0.394802063552703,4,5.0,5.0,5.0,False
trial_000_ep1_task024,0,24,0.9,low,28,6,16,0.3743285685041595,4,5.0,5.0,5.0,False
trial_000_ep1_task024,0,24,0.9,low,28,6,17,0.6920802867282223,4,5.0,5.0,5.0,False
trial_000_ep1_task024,0,24,0.9,low,28,6,18,0.7778538914629787,1,4.0,5.0,5.0,False
trial_000_ep1_task024,0,24,0.9,low,28,6,19,3.0391455397413845,1,2.0,2.0,4.0,False
